"Time","Type","Ability","Source → Target",""
"00:32.137","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:34.011","Cast","Paradox +30% damage","Fuyurururu Yururururu → Kokytos",""
"00:34.590","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:36.419","Cast","Xenoglossie +17% damage","Fuyurururu Yururururu → Kokytos",""
"00:37.667","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:38.915","Cast","Feuga","Fuyurururu Yururururu → Kokytos",""
"00:39.451","Cast","Stumpfsinn","Fuyurururu Yururururu → Kokytos",""
"00:40.879","Cast","Unbeirrbarkeit","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"00:43.688","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"00:46.543","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"00:49.399","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"00:52.433","Cast","Verzweiflung 2.94 sec","Fuyurururu Yururururu → Kokytos",""
"00:54.262","Cast","Eisga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"00:57.429","Cast","Eiska 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"00:58.056","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"01:01.672","Cast","Feuga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"01:02.920","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"01:03.501","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"01:07.602","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:10.458","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:13.312","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:15.808","Cast","Paradox 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"01:18.706","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:21.602","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:24.414","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:27.439","Cast","Verzweiflung 2.94 sec","Fuyurururu Yururururu → Kokytos",""
"01:28.063","Cast","Xenoglossie","Fuyurururu Yururururu → Kokytos",""
"01:28.684","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"01:30.510","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"01:31.133","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"01:32.957","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"01:34.691","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"01:35.402","Cast","Feuga","Fuyurururu Yururururu → Kokytos",""
"01:40.067","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:42.910","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:45.750","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:48.589","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"01:49.212","Cast","Spontaneität","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"01:49.834","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"01:53.477","Cast","Eisga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"01:56.632","Cast","Eiska 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"01:57.252","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"01:57.962","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:00.896","Cast","Feuga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"02:01.517","Cast","Ley-Linien","Fuyurururu Yururururu",""
"02:03.962","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"02:06.366","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"02:08.804","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"02:11.249","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"02:11.870","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"02:12.446","Cast","Mana-Schild","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:13.069","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:15.513","Cast","Paradox 2.08 sec+5% damage","Fuyurururu Yururururu → Kokytos",""
"02:17.957","Cast","Feuka 2.33 sec+11% damage","Fuyurururu Yururururu → Kokytos",""
"02:20.354","Cast","Feuka 2.33 sec+24% damage","Fuyurururu Yururururu → Kokytos",""
"02:22.971","Cast","Verzweiflung 2.50 sec+24% damage","Fuyurururu Yururururu → Kokytos",""
"02:23.593","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"02:24.172","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:24.793","Cast","Verstärker","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:25.638","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"02:27.767","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"02:30.211","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"02:32.251","Cast","Paradox +17% damage","Fuyurururu Yururururu → Kokytos",""
"02:33.048","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:33.671","Cast","Äthermanipulation","Fuyurururu Yururururu → Kim Chi-seung",""
"02:34.737","Cast","Feuga +17% damage","Fuyurururu Yururururu → Kokytos",""
"02:35.758","Cast","Sprint","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:39.580","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"02:42.821","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"02:43.488","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:44.064","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"02:46.508","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"02:47.086","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:47.752","Cast","Klartraum","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:48.953","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"02:49.532","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:51.398","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"02:53.844","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"02:55.624","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"02:59.183","Cast","Feuga 3.43 sec","Fuyurururu Yururururu → Kokytos",""
"03:02.028","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:04.877","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:07.677","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:10.698","Cast","Verzweiflung 2.94 sec","Fuyurururu Yururururu → Kokytos",""
"03:12.561","Cast","Eisga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"03:15.715","Cast","Eiska 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"03:16.337","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"03:17.004","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"03:19.981","Cast","Feuga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"03:23.452","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:24.076","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"03:28.743","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:31.591","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:34.127","Cast","Paradox 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"03:36.971","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:39.854","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:42.694","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"03:43.314","Cast","Xenoglossie","Fuyurururu Yururururu → Kokytos",""
"03:43.936","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"03:45.755","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"03:46.332","Cast","Mana-Brunnen","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"03:48.197","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"03:48.776","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"03:50.641","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"03:51.218","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"03:53.085","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"03:55.527","Cast","Schattenseele","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"03:58.061","Cast","Schattenseele","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:00.505","Cast","Schattenseele","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:03.618","Cast","Schattenseele","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:05.533","Cast","Äthermanipulation","Fuyurururu Yururururu → Fran Farron",""
"04:07.578","Cast","Schattenseele","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:09.709","Cast","Sprint","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:12.151","Cast","Schattenseele","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:14.548","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:17.705","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"04:19.660","Cast","Ley-Linien","Fuyurururu Yururururu",""
"04:20.193","Cast","Blitzga +17% damage","Fuyurururu Yururururu → Kokytos",""
"04:21.079","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:23.833","Cast","Paradox 2.08 sec+24% damage","Fuyurururu Yururururu → Kokytos",""
"04:24.501","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"04:25.346","Cast","Verstärker","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:26.546","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"04:28.636","Cast","Xenoglossie +24% damage","Fuyurururu Yururururu → Kokytos",""
"04:32.236","Cast","Feuer 2.08 sec+24% damage","Fuyurururu Yururururu → Kokytos",""
"04:34.681","Cast","Feuka 2.33 sec+17% damage","Fuyurururu Yururururu → Kokytos",""
"04:37.081","Cast","Feuka 2.33 sec+17% damage","Fuyurururu Yururururu → Kokytos",""
"04:39.525","Cast","Feuka 2.33 sec","Fuyurururu Yururururu → Kokytos",""
"04:40.147","Cast","Xenoglossie","Fuyurururu Yururururu → Kokytos",""
"04:40.724","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:41.391","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:42.192","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"04:44.279","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"04:46.364","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"04:46.943","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"04:48.411","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"04:50.503","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"04:52.909","Cast","Feuga","Fuyurururu Yururururu → Kokytos",""
"04:57.574","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:00.458","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:03.297","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:06.313","Cast","Verzweiflung 2.94 sec","Fuyurururu Yururururu → Kokytos",""
"05:08.135","Cast","Eisga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"05:11.287","Cast","Eiska 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"05:11.953","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"05:12.662","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"05:15.594","Cast","Feuga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"05:19.062","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:21.905","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:22.527","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"05:26.882","Cast","Paradox 2.45 sec+6% damage","Fuyurururu Yururururu → Kokytos",""
"05:30.214","Cast","Feuka 2.74 sec+6% damage","Fuyurururu Yururururu → Kokytos",""
"05:33.101","Cast","Feuka 2.74 sec+6% damage","Fuyurururu Yururururu → Kokytos",""
"05:35.943","Cast","Feuka 2.74 sec+6% damage","Fuyurururu Yururururu → Kokytos",""
"05:36.610","Cast","Xenoglossie +6% damage","Fuyurururu Yururururu → Kokytos",""
"05:37.189","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"05:37.811","Cast","Klartraum","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"05:39.056","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"05:41.499","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"05:42.031","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"05:43.941","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"05:45.050","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"05:46.383","Cast","Blitzga","Fuyurururu Yururururu → Kokytos",""
"05:47.358","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"05:48.823","Cast","Feuga","Fuyurururu Yururururu → Kokytos",""
"05:50.023","Cast","Stumpfsinn","Fuyurururu Yururururu → Kokytos",""
"05:53.486","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:56.285","Cast","Feuka 2.74 sec","Fuyurururu Yururururu → Kokytos",""
"05:59.305","Cast","Verzweiflung 2.94 sec","Fuyurururu Yururururu → Kokytos",""
"06:01.128","Cast","Eisga 1.71 sec","Fuyurururu Yururururu → Kokytos",""
"06:04.280","Cast","Eiska 2.45 sec","Fuyurururu Yururururu → Kokytos",""
"06:04.947","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
"06:05.523","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:06.144","Cast","Spontaneität","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:07.433","Cast","Feuga","Fuyurururu Yururururu → Kokytos",""
"06:07.966","Cast","Stärkung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:12.100","Cast","Feuka 2.74 sec+5% damage","Fuyurururu Yururururu → Kokytos",""
"06:14.854","Cast","Feuka 2.74 sec+5% damage","Fuyurururu Yururururu → Kokytos",""
"06:17.745","Cast","Feuka 2.74 sec+5% damage","Fuyurururu Yururururu → Kokytos",""
"06:20.237","Cast","Paradox 2.45 sec+10% damage","Fuyurururu Yururururu → Kokytos",""
"06:20.904","Cast","Blitzga +10% damage","Fuyurururu Yururururu → Kokytos",""
"06:22.327","Cast","Ley-Linien","Fuyurururu Yururururu",""
"06:25.172","Cast","Feuka 2.33 sec+30% damage","Fuyurururu Yururururu → Kokytos",""
"06:25.749","Cast","Xenoglossie +30% damage","Fuyurururu Yururururu → Kokytos",""
"06:26.370","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:27.836","Cast","Verzweiflung +30% damage","Fuyurururu Yururururu → Kokytos",""
"06:28.458","Cast","Mana-Brunnen","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:29.923","Cast","Xenoglossie +30% damage","Fuyurururu Yururururu → Kokytos",""
"06:30.501","Cast","Verstärker","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:31.965","Cast","Feuka +30% damage","Fuyurururu Yururururu → Kokytos",""
"06:32.586","Cast","Augmentierung","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:34.054","Cast","Verzweiflung +30% damage","Fuyurururu Yururururu → Kokytos",""
"06:34.633","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:36.145","Cast","Blitzga +30% damage","Fuyurururu Yururururu → Kokytos",""
"06:38.192","Cast","Paradox +23% damage","Fuyurururu Yururururu → Kokytos",""
"06:40.279","Cast","Xenoglossie +5% damage","Fuyurururu Yururururu → Kokytos",""
"06:41.257","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:42.322","Cast","Feuga +5% damage","Fuyurururu Yururururu → Kokytos",""
"06:43.924","Cast","Tripelzauber","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:44.548","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"06:45.124","Cast","Mana-Schild","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:46.990","Cast","Feuka","Fuyurururu Yururururu → Kokytos",""
"06:49.031","Cast","Xenoglossie","Fuyurururu Yururururu → Kokytos",""
"06:51.075","Cast","Verzweiflung","Fuyurururu Yururururu → Kokytos",""
"06:51.743","Cast","Transposition","Fuyurururu Yururururu →  Fuyurururu Yururururu",""
"06:53.164","Cast","Paradox","Fuyurururu Yururururu → Kokytos",""
